scorer,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi
labeled-data\mouse1\img2762.png,85.17843371756284,203.97283612964247,95.6628654384951,189.55674251336063,80.72255023616664,184.3145266528945,101.16719209198452,128.48492773893028
labeled-data\mouse1\img3084.png,235.08416161027628,204.91474085379105,223.44899957851004,209.03179818810833,228.99807685519858,225.32102503258113,180.488401307373,239.64122445629346
labeled-data\mouse1\img3198.png,190.073123746683,69.934427004999,190.26810860490764,89.23792796923982,197.87251807566918,76.7588970428619,235.89456542947687,102.10692861206702
labeled-data\mouse1\img3361.png,154.51956831607498,164.5789744040318,166.47757412949187,147.3371985800353,155.6319409498812,146.2248259462291,166.19948097104032,77.81390896714615
labeled-data\mouse1\img3760.png,132.4170880807178,297.77191639752084,115.7314985736244,290.9122851557157,114.43373050085047,310.93499256422785,80.13557429182515,266.254691773011
labeled-data\mouse1\img3854.png,109.6836472326833,135.9087844274488,91.46375064447784,143.6826069717498,105.06794009700458,148.0553821529191,87.81977132683676,200.77161628146018
labeled-data\mouse1\img4294.png,275.381635910706,113.61252160730646,258.811119434696,102.2202915300496,257.6028526083203,123.79648485818763,216.8669996047957,93.41720465216927
labeled-data\mouse1\img4426.png,224.84968010007216,401.68615583311185,237.082582598855,390.5911977528204,227.41005504167788,379.7807257771518,268.0915680027464,326.8663103173004
labeled-data\mouse1\img4458.png,110.53767052316968,380.33860622479034,130.06812107649165,388.23389474634604,130.69143332819343,368.4956734424568,183.6729747228435,378.6764402202523
labeled-data\mouse1\img4494.png,71.88874685016982,314.12062960611763,82.85584600703523,324.8543862277306,89.38943699410397,306.8870110132915,131.6244358747984,356.5889710220645
labeled-data\mouse1\img4626.png,114.31334692929438,141.41515682371306,95.36145800447508,154.95222034144115,108.89852152220315,164.7973574452434,76.90182593484589,211.56175868830402
labeled-data\mouse1\img4694.png,166.93300721517616,276.7417126371427,154.51151280433996,261.9644175621824,148.0866019021833,278.8833496045283,106.53884473490359,239.47722940463413
labeled-data\mouse1\img4884.png,155.65711956837683,378.16003401090006,174.2733788192029,387.1357304354055,172.27877961375722,366.8573051800414,208.18156531177888,365.0289225750496
labeled-data\mouse1\img5094.png,111.9085655094015,304.78382761712624,115.35436349573227,329.888927231822,127.66078487548508,319.30540484523453,147.35105908308952,360.654980681204
labeled-data\mouse1\img5160.png,81.65702835465979,129.39416450814343,99.48056228024461,148.5218594526735,104.26248601637712,128.0900034891982,148.60396066051499,179.60436373753487
labeled-data\mouse1\img5283.png,88.45690193168778,195.20866631157995,106.43386656538382,189.05865209478918,99.33769631524065,174.86631159450286,151.84935616630014,132.76236811032004
labeled-data\mouse1\img5457.png,195.61228476474156,383.8360112690889,200.9631807101198,354.7033555664741,183.42413288915782,358.56789152702504,195.0177407708107,316.0579959609647
labeled-data\mouse1\img5563.png,251.8111969869574,361.5098134784994,233.3291896057287,351.1372583155649,234.4607410780488,371.5051848173272,193.1591123383642,352.8345855240451
labeled-data\mouse1\img5608.png,145.2021641240039,303.7052896509318,161.8877536310973,318.4729953066351,164.95636779332136,299.48594517787365,203.8894099765393,322.3087630094152
labeled-data\mouse1\img6062.png,86.95788870815095,195.02884871814672,86.40170239124781,223.11625772175395,100.58445347227722,214.4953698097557,105.31203716595367,269.2797220247124
labeled-data\mouse1\img6707.png,301.566877321967,363.5849638057034,303.23543627267634,334.38518216829,287.6622193993892,340.7813248126758,277.6508656951331,280.15701627023645
labeled-data\mouse1\img6847.png,148.40150164909784,203.99944676808056,160.70792302885062,225.09616913337106,166.86113371872702,211.55910561564298,204.83523397624992,237.05097847370234
labeled-data\mouse1\img7157.png,105.51650955585569,318.1517817262581,117.36903175744618,294.4467373230771,99.2610117272385,291.81284350050146,113.41819102358266,240.12267723245407
labeled-data\mouse1\img7208.png,97.23569002028925,361.936366829414,113.76145587310016,359.83308753905624,102.04318554110698,350.819033437523,120.07129374417342,296.1337718882215
labeled-data\mouse1\img7321.png,159.0438411382569,337.12986574801425,139.6252671429327,333.53383352665793,143.22129936428905,351.9455185000024,102.37037332968109,338.71211992541106
labeled-data\mouse1\img7397.png,99.6554085589114,197.5679031842712,87.59831207983933,220.10943138427552,101.22807331705124,218.798877419159,100.70385173100465,273.05581157498335
labeled-data\mouse1\img7547.png,108.71120420379272,225.7131204036324,108.27009091797301,204.76023932719613,96.36003220084082,211.59749525740165,,
labeled-data\mouse1\img7627.png,249.37725773913633,235.33167551275827,232.97935080975142,218.76115903674827,230.56281715699998,239.81952372501098,196.73134601847954,228.94512228762943
labeled-data\mouse1\img8020.png,120.19564533750616,117.58268502097272,139.98820668385144,117.88954643719514,134.6181318999593,98.25041579896106,175.4307002575395,113.90034802630385
labeled-data\mouse1\img8152.png,98.94274569460563,219.80081190785597,101.10036502741943,194.62858635836162,86.71623614199409,197.9848830982942,99.6619521388769,138.29074822377902
labeled-data\mouse1\img8476.png,,,,,,,,
labeled-data\mouse1\img8564.png,,,,,,,,
labeled-data\mouse1\img8591.png,,,,,,,,
